Year,ID,Name,Path,Warning,Intensity,PresMin,WindSpeedMax,RadiusMax7,RadiusMax10,WarningCnt
2021,202103,"彩雲
(CHOI-WAN)",---,"2021-06-03 16:00
2021-06-04 20:30",輕度,995,20,100,---,11
2020,202020,"閃電
(ATSANI)",5,"2020-11-05 08:30
2020-11-07 14:30",輕度,982,28,120,---,19
2020,202008,"巴威
(BAVI)",---,"2020-08-22 10:30
2020-08-22 23:30",輕度,945,43,220,80,6
2020,202006,"米克拉
(MEKKHALA)",---,"2020-08-10 10:30
2020-08-11 14:30",輕度,992,23,120,---,11
2020,202004,"哈格比
(HAGUPIT)",---,"2020-08-02 05:30
2020-08-03 23:30",中度,978,33,100,40,15
2020,202001,"黃蜂
(VONGFONG)",---,"2020-05-16 11:30
2020-05-17 08:30",中度,948,43,150,50,8
2019,201918,"米塔
(MITAG)",6,"2019-09-29 08:30
2019-10-01 11:30",中度,960,38,180,60,18
2019,201911,"白鹿
(BAILU)",4,"2019-08-23 05:30
2019-08-25 11:30",輕度,975,30,150,50,19
2019,201909,"利奇馬
(LEKIMA)",1,"2019-08-07 17:30
2019-08-10 08:30",強烈,915,53,280,100,22
2019,201905,"丹娜絲
(DANAS)",---,"2019-07-16 23:30
2019-07-18 17:30",輕度,988,23,150,---,15
2018,201822,"山竹
(MANGKHUT)",---,"2018-09-14 11:30
2018-09-15 20:30",強烈,895,60,320,120,12
2018,201808,"瑪莉亞
(MARIA)",1,"2018-07-09 14:30
2018-07-11 14:30",強烈,915,55,280,100,17
2017,201718,"泰利
(TALIM)",---,"2017-09-12 14:30
2017-09-14 20:30",中度,935,48,250,80,19
2017,201717,"谷超
(GUCHOL)",---,"2017-09-06 10:30
2017-09-07 02:30",輕度,998,18,80,---,7
2017,201713,"天鴿
(HATO)",---,"2017-08-20 23:30
2017-08-22 17:30",中度,965,33,180,50,15
2017,201710,"海棠
(HAITANG)",7,"2017-07-29 17:30
2017-07-31 08:30",輕度,990,20,100,---,14
2017,201709,"尼莎
(NESAT)",2,"2017-07-28 08:30
2017-07-30 14:30",中度,955,40,180,60,19
2016,201619,"艾利
(AERE)",---,"2016-10-05 11:30
2016-10-06 14:30",輕度,998,18,120,---,10
2016,201617,"梅姬
(MEGI)",3,"2016-09-25 23:30
2016-09-28 17:30",中度,940,45,250,100,23
2016,201616,"馬勒卡
(MALAKAS)",---,"2016-09-15 23:30
2016-09-18 08:30",中度,940,45,180,60,20
2016,201614,"莫蘭蒂
(MERANTI)",7,"2016-09-12 23:30
2016-09-15 11:30",強烈,900,60,220,80,21
2016,201601,"尼伯特
(NEPARTAK)",4,"2016-07-06 14:30
2016-07-09 14:30",強烈,905,58,200,80,25
2015,201521,"杜鵑
(DUJUAN)",2,"2015-09-27 08:30
2015-09-29 17:30",強烈,925,51,220,80,20
2015,201515,"天鵝
(GONI)",---,"2015-08-20 17:30
2015-08-23 20:30",強烈,925,51,200,80,26
2015,201513,"蘇迪勒
(SOUDELOR)",3,"2015-08-06 11:30
2015-08-09 08:30",中度,930,48,300,100,24
2015,201510,"蓮花
(LINFA)",---,"2015-07-06 08:30
2015-07-09 05:30",輕度,975,30,120,30,24
2015,201509,"昌鴻
(CHAN-HOM)",---,"2015-07-09 05:30
2015-07-11 11:30",中度,935,48,280,100,19
2015,201506,"紅霞
(NOUL)",---,"2015-05-10 08:30
2015-05-11 20:30",強烈,925,51,200,80,13
2014,201416,"鳳凰
(FUNG-WONG)",特殊,"2014-09-19 08:30
2014-09-22 08:30",輕度,985,25,150,---,25
2014,201410,"麥德姆
(MATMO)",3,"2014-07-21 17:30
2014-07-23 23:30",中度,960,38,200,80,19
2014,201407,"哈吉貝
(HAGIBIS)",---,"2014-06-14 23:30
2014-06-15 17:30",輕度,992,20,100,---,7
2013,201323,"菲特
(FITOW)",1,"2013-10-04 23:30
2013-10-07 08:30",中度,960,38,250,80,20
2013,201319,"天兔
(USAGI)",5,"2013-09-19 23:30
2013-09-22 14:30",強烈,910,55,280,120,22
2013,201315,"康芮
(KONG-REY)",6,"2013-08-27 11:30
2013-08-29 20:30",輕度,985,25,120,0,20
2013,201315,"康芮
(KONG-REY)",6,"2013-08-27 11:30
2013-08-29 20:30",輕度,985,25,120,---,---
2013,201312,"潭美
(TRAMI )",1,"2013-08-20 11:30
2013-08-22 08:30",輕度,970,30,180,---,16
2013,201312,"潭美
(TRAMI )",1,"2013-08-20 11:30
2013-08-22 08:30",輕度,970,30,180,50,---
2013,201308,"西馬隆
(CIMARON)",---,"2013-07-17 10:30
2013-07-18 11:30",輕度,998,18,100,---,10
2013,201307,"蘇力
(SOULIK )",2,"2013-07-11 08:30
2013-07-13 23:30",強烈,925,51,280,100,22
2013,201307,"蘇力
(SOULIK )",2,"2013-07-11 08:30
2013-07-13 23:30",強烈,925,51,280,100,---
2012,201217,"杰拉華
(JELAWAT)",---,"2012-09-27 02:30
2012-09-28 20:30",強烈,910,55,250,100,15
2012,201214,"天秤
(TEMBIN)",特殊,"2012-08-21 14:30
2012-08-25 14:30",中度,945,45,180,50,33
2012,201214,"天秤
(TEMBIN)",特殊,"2012-08-26 11:30
2012-08-28 23:30",中度,945,35,180,50,21
2012,201213,"啟德
(KAI-TAK)",---,"2012-08-14 14:30
2012-08-15 17:30",輕度,995,20,150,---,10
2012,201211,"海葵
(HAIKUI)",---,"2012-08-06 11:30
2012-08-07 17:30",中度,960,35,180,50,11
2012,201209,"蘇拉
(SAOLA)",2,"2012-07-30 20:30
2012-08-03 14:30",中度,960,38,220,80,31
2012,201206,"杜蘇芮
(DOKSURI)",---,"2012-06-28 05:30
2012-06-29 08:30",輕度,995,23,120,---,10
2012,201205,"泰利
(TALIM)",9,"2012-06-19 05:30
2012-06-21 05:30",輕度,985,25,150,---,17
2011,201111,"南瑪都
(NANMADOL )",4,"2011-08-27 05:30
2011-08-31 08:30",強烈,920,53,180,50,34
